benchmark,original_2q,ours_2q,qiskit_2q,guoq_2q,quartz_2q,tket_2q,queso_2q
ham15-high,2149,1539,2143.0,1497.0,2149.0,2120.0,2140.0
vqe_uccsd_n6,1052,580,931.0,923.0,1052.0,839.0,1046.0
hwb6_56,2952,2115,2952.0,2366.0,2950.0,2929.0,2829.0
rd73_252,2319,1617,2319.0,1623.0,2319.0,2309.0,2317.0
sqrt8_260,1314,870,1314.0,854.0,1312.0,1311.0,1243.0
0410184_169,104,76,102.0,80.0,93.0,97.0,81.0
4_49_16,99,65,97.0,66.0,84.0,95.0,79.0
4gt10-v1_81,66,44,66.0,45.0,50.0,65.0,49.0
4mod7-v1_96,72,46,70.0,47.0,50.0,69.0,48.0
TFIM_step_100_16,240,240,240.0,240.0,240.0,240.0,240.0
TFIM_step_10_4,12,12,12.0,12.0,12.0,12.0,12.0
XY_step_100_8,56,56,56.0,56.0,56.0,56.0,56.0
adder_9,98,19,93.0,49.0,39.0,56.0,62.0
ae_nativegates_ibm_tket_8,56,56,56.0,56.0,56.0,56.0,56.0
alu-bdd_288,38,26,38.0,28.0,30.0,38.0,27.0
alu-v2_30,223,158,221.0,162.0,185.0,218.0,187.0
alu-v3_34,24,19,24.0,20.0,21.0,24.0,21.0
alu-v4_37,18,15,18.0,16.0,16.0,17.0,16.0
decod24-v3_45,64,45,64.0,45.0,48.0,64.0,47.0
ex1_226,5,5,5.0,5.0,5.0,5.0,5.0
gf2^6_mult,221,202,221.0,203.0,220.0,221.0,218.0
grover_pigeon3,92,92,92.0,92.0,92.0,92.0,92.0
heisenberg_step_5_4,90,42,60.0,50.0,32.0,50.0,60.0
hlf_10,56,32,54.0,33.0,33.0,24.0,35.0
majority_239,267,178,267.0,217.0,237.0,266.0,244.0
misex1_241,2100,1364,2100.0,1381.0,2100.0,2097.0,1993.0
multiply_10,163,45,132.0,87.0,86.0,104.0,100.0
pm1_249,771,496,771.0,498.0,765.0,769.0,681.0
portfolioqaoa_nativegates_ibm_tket_8,168,168,168.0,168.0,168.0,168.0,168.0
