benchmark,original_2q,ours_2q,ours_fid,qiskit_2q,qiskit_fid,guoq_2q,guoq_fid,quartz_2q,quartz_fid,tket_2q,tket_fid,queso_2q,queso_fid
vqe_nativegates_ibm_tket_8,14,14,0.8344014396,14,0.8353403609626198,14,0.8339323746904869,14,0.8400508397725289,14,0.8412326040070265,14,0.8339323746904869
vqe_uccsd_n4,88,56,0.5156598646,71,0.4334249258157023,84,0.3669759706463996,74,0.4145945359716848,61,0.4877422265836574,88,0.3505399858727386
vqe_uccsd_n6,1052,676,0.0003519909,931,1.8531917284086012e-05,952,1.289135948241526e-05,1052,3.438422712154218e-06,838,5.738966028267097e-05,1052,3.97973347851424e-06
ham15-high,2149,1520,2.17e-08,2143,1.6883247750677248e-11,1585,1.0525868498945332e-08,2149,1.5817294995798442e-11,2120,2.195252669463883e-11,2149,1.5817294995798442e-11
misex1_241,2100,1600,8.2e-09,2100,2.812975047503692e-11,1580,1.0346790558855314e-08,2100,2.5818070562709828e-11,2100,2.812975047503692e-11,2100,2.5818070562709828e-11
0410184_169,104,75,0.4159964356,102,0.3060353201530977,79,0.3980358392658513,95,0.3310042002632354,97,0.3216476005443622,96,0.3272110509215469
4gt10-v1_81,66,45,0.5914828906,66,0.4653745669381174,50,0.5588313889628898,59,0.5043352622263615,65,0.4707693579369189,58,0.50960825623599
4gt12-v1_89,100,67,0.4584920823,100,0.3142301835626677,74,0.4223597455590746,95,0.3328707307748631,100,0.3142301835626677,84,0.3763804861788781
4gt13_90,53,30,0.705687924,49,0.5669012131800009,38,0.6431675707394402,42,0.6152258880027762,46,0.5868458160339034,40,0.6285112482686631
4gt13_92,30,19,0.8008506698,30,0.706482008749294,24,0.7566414841282924,25,0.7483914494317533,30,0.706482008749294,26,0.7393993498997241
4gt4-v0_72,113,83,0.3804226139,113,0.2705053458472867,81,0.3894031986904012,102,0.3070695941457431,113,0.2705053458472867,97,0.3238253484917287
4gt4-v0_73,179,117,0.2565802113,179,0.1261343094707299,135,0.2081568800019904,176,0.1305719410195023,169,0.1415430842209181,156,0.1634084032760492
4gt5_76,46,29,0.7138685147,46,0.5875061721520883,36,0.6585358663485261,36,0.6592768926564692,36,0.6592768926564692,41,0.621658280629233
4mod5-bdd_287,31,21,0.7819412844,31,0.6979934610179095,23,0.7641226254193103,26,0.7393993498997241,29,0.712865671609191,27,0.7296941943913732
4mod5-v0_18,31,19,0.8006255362,31,0.6987788875129834,21,0.7823811056712511,16,0.8301922895461414,28,0.7233631838067948,21,0.7823811056712511
4mod7-v1_96,72,47,0.5776794148,70,0.4445315420316881,51,0.5524274493347107,61,0.4931198224338047,69,0.4496847131158198,62,0.4866472652674784
C17_204,205,157,0.1608107808,205,0.0932374083226943,157,0.1609917352634576,198,0.1010431512944823,205,0.0932374083226943,177,0.1278476472310891
TFIM_step_100_16,240,240,0.0448893817,240,0.053033712139782,240,0.044889381673838,240,0.044889381673838,240,0.0513752721600055,240,0.044889381673838
TFIM_step_10_4,12,12,0.8567446313,12,0.8632731489944624,12,0.8562630060045069,12,0.8649738332064206,12,0.8620604221847497,12,0.8562630060045069
XY_step_100_8,56,56,0.484866617,56,0.5067488895938482,56,0.4847303121498933,56,0.5126242186239043,56,0.5137785422600435,56,0.4847303121498933
adder_8,409,313,0.0262040545,385,0.0113734880801265,314,0.026123184007026,409,0.0087397621416323,383,0.0111361286429033,374,0.0130825856147653
adder_9,98,39,0.6352611272,93,0.3404414903952817,53,0.540446348278798,67,0.4599122716039207,56,0.5201739419541339,65,0.4706370161163901
ae_nativegates_ibm_tket_8,56,56,0.5046162446,56,0.5149354651940866,56,0.4799837070395382,56,0.4774264723810041,56,0.5097497431696236,56,0.4799837070395382
aj-e11_165,69,47,0.5780043441,69,0.4495582985720643,51,0.5524274493347107,61,0.4928426115193687,69,0.449179268125391,61,0.4922886571113207
