benchmark,SymbolicOptimizer-leq2-PQ-3.jar_3600_8000_rules_q3_s4_ibm.txt_rules_q3_s3_ibm_symb.txt_ibm_-1_0_7_10,SymbolicOptimizer-SymbPreserve-PQ-3.jar_3600_8000_rules_q3_s4_ibm.txt_rules_q3_s3_ibm_symb.txt_ibm_-1_0_7_10,SymbolicOptimizer-ReduceAll-PQ-3.jar_3600_8000_rules_q3_s4_ibm.txt_rules_q3_s3_ibm_symb.txt_ibm_-1_0_7_10,SymbolicOptimizer-RZ-Obj-Flip-RZ.jar_3600_8000_rules_q3_s3_ion1.txt_rules_q3_s3_ion1_symb.txt_ion_-1_0_7_10,SymbolicOptimizer-Base-PQ-3.jar_3600_8000_rules_q3_s6_nam_nosub.txt_rules_q3_s3_nam_nosub_symb.txt_nam_-1_0_7_10,SymbolicOptimizer-Base-PQ-3.jar_3600_8000_rules_q3_s5_rigetti2.txt_rules_q3_s3_rigetti2_symb.txt_rigetti_-1_0_7_10,SymbolicOptimizer-Base-PQ-3.jar_3600_8000_rules_q3_s4_ibm.txt_rules_q3_s3_ibm_symb.txt_ibm_-1_0_7_10,SymbolicOptimizer-Base-PQ-3.jar_3600_8000_rules_q3_s3_ion1.txt_rules_q3_s3_ion1_symb.txt_ion_-1_0_7_10,SymbolicOptimizer-Base-PQ-3.jar_3600_8000_empty.txt_empty.txt_ibm_-1_0_7_10,SymbolicOptimizer-Base-PQ-3.jar_3600_8000_best_rules_ibm_nov3_nonsymb.txt_best_rules_ibm_nov3_symb.txt_ibm_-1_0_7_10,SymbolicOptimizer-Base-IBM-New.jar_3600_8000_rules_q3_s6_ibmnew.txt_rules_q3_s3_ibmnew_symb.txt_ibmnew_-1_0_7_10,SymbolicOptimizer-Base-Fidelity.jar_3600_8000_rules_q3_s4_ibm.txt_rules_q3_s3_ibm_symb.txt_ibm_-1_0_7_10
rigetti_afterQuartzPP_barenco_tof_10,,,,,,160,,,,,,
rigetti_afterQuartzPP_barenco_tof_3,,,,,,20,,,,,,
rigetti_afterQuartzPP_barenco_tof_4,,,,,,40,,,,,,
rigetti_afterQuartzPP_barenco_tof_5,,,,,,60,,,,,,
rigetti_afterQuartzPP_csla_mux_3,,,,,,76,,,,,,
rigetti_afterQuartzPP_csum_mux_9,,,,,,168,,,,,,
rigetti_afterQuartzPP_gf2^10_mult,,,,,,609,,,,,,
rigetti_afterQuartzPP_gf2^4_mult,,,,,,99,,,,,,
rigetti_afterQuartzPP_gf2^5_mult,,,,,,154,,,,,,
rigetti_afterQuartzPP_gf2^6_mult,,,,,,221,,,,,,
rigetti_afterQuartzPP_gf2^7_mult,,,,,,300,,,,,,
rigetti_afterQuartzPP_gf2^8_mult,,,,,,405,,,,,,
rigetti_afterQuartzPP_gf2^9_mult,,,,,,494,,,,,,
rigetti_afterQuartzPP_mod5_4,,,,,,28,,,,,,
rigetti_afterQuartzPP_mod_mult_55,,,,,,40,,,,,,
rigetti_afterQuartzPP_mod_red_21,,,,,,81,,,,,,
rigetti_afterQuartzPP_qaoa_n10_p4,,,,,,120,,,,,,
rigetti_afterQuartzPP_qaoa_n14_p4,,,,,,168,,,,,,
rigetti_afterQuartzPP_qaoa_n20_p4,,,,,,240,,,,,,
rigetti_afterQuartzPP_qaoa_n30_p4,,,,,,360,,,,,,
rigetti_afterQuartzPP_qaoa_n4_p4,,,,,,48,,,,,,
rigetti_afterQuartzPP_qaoa_n6_p4,,,,,,72,,,,,,
rigetti_afterQuartzPP_qaoa_n8_p4,,,,,,96,,,,,,
rigetti_afterQuartzPP_qcla_adder_10,,,,,,199,,,,,,
rigetti_afterQuartzPP_qcla_com_7,,,,,,132,,,,,,
rigetti_afterQuartzPP_qcla_mod_7,,,,,,314,,,,,,
rigetti_afterQuartzPP_rc_adder_6,,,,,,73,,,,,,
rigetti_afterQuartzPP_tof_10,,,,,,70,,,,,,
rigetti_afterQuartzPP_tof_3,,,,,,14,,,,,,
rigetti_afterQuartzPP_tof_4,,,,,,22,,,,,,
rigetti_afterQuartzPP_tof_5,,,,,,30,,,,,,
rigetti_afterQuartzPP_vbe_adder_3,,,,,,50,,,,,,
nam_afterQuartzPP_adder_8,,,,,298,,,,,,,
nam_afterQuartzPP_barenco_tof_10,,,,,128,,,,,,,
nam_afterQuartzPP_barenco_tof_3,,,,,16,,,,,,,
nam_afterQuartzPP_barenco_tof_4,,,,,30,,,,,,,
nam_afterQuartzPP_barenco_tof_5,,,,,44,,,,,,,
nam_afterQuartzPP_csla_mux_3,,,,,70,,,,,,,
nam_afterQuartzPP_csum_mux_9,,,,,112,,,,,,,
nam_afterQuartzPP_gf2^10_mult,,,,,574,,,,,,,
nam_afterQuartzPP_gf2^4_mult,,,,,96,,,,,,,
nam_afterQuartzPP_gf2^5_mult,,,,,148,,,,,,,
nam_afterQuartzPP_gf2^6_mult,,,,,211,,,,,,,
nam_afterQuartzPP_gf2^7_mult,,,,,285,,,,,,,
nam_afterQuartzPP_gf2^8_mult,,,,,384,,,,,,,
nam_afterQuartzPP_gf2^9_mult,,,,,466,,,,,,,
nam_afterQuartzPP_mod5_4,,,,,18,,,,,,,
nam_afterQuartzPP_mod_mult_55,,,,,40,,,,,,,
nam_afterQuartzPP_mod_red_21,,,,,79,,,,,,,
nam_afterQuartzPP_qcla_adder_10,,,,,189,,,,,,,
nam_afterQuartzPP_qcla_com_7,,,,,123,,,,,,,
nam_afterQuartzPP_qcla_mod_7,,,,,306,,,,,,,
nam_afterQuartzPP_rc_adder_6,,,,,71,,,,,,,
nam_afterQuartzPP_tof_10,,,,,70,,,,,,,
nam_afterQuartzPP_tof_3,,,,,14,,,,,,,
nam_afterQuartzPP_tof_4,,,,,22,,,,,,,
nam_afterQuartzPP_tof_5,,,,,30,,,,,,,
nam_afterQuartzPP_vbe_adder_3,,,,,41,,,,,,,
nam_afterQuartzPP_qaoa_n10_p4,,,,,120,,,,,,,
nam_afterQuartzPP_qaoa_n14_p4,,,,,160,,,,,,,
nam_afterQuartzPP_qaoa_n20_p4,,,,,236,,,,,,,
nam_afterQuartzPP_qaoa_n30_p4,,,,,360,,,,,,,
nam_afterQuartzPP_qaoa_n4_p4,,,,,36,,,,,,,
nam_afterQuartzPP_qaoa_n6_p4,,,,,68,,,,,,,
nam_afterQuartzPP_qaoa_n8_p4,,,,,92,,,,,,,
