benchmark,SymbolicOptimizer-leq2-PQ-3.jar_3600_8000_rules_q3_s4_ibm.txt_rules_q3_s3_ibm_symb.txt_ibm_-1_0_7_10,SymbolicOptimizer-SymbPreserve-PQ-3.jar_3600_8000_rules_q3_s4_ibm.txt_rules_q3_s3_ibm_symb.txt_ibm_-1_0_7_10,SymbolicOptimizer-ReduceAll-PQ-3.jar_3600_8000_rules_q3_s4_ibm.txt_rules_q3_s3_ibm_symb.txt_ibm_-1_0_7_10,SymbolicOptimizer-RZ-Obj-Flip-RZ.jar_3600_8000_rules_q3_s3_ion1.txt_rules_q3_s3_ion1_symb.txt_ion_-1_0_7_10,SymbolicOptimizer-Base-PQ-3.jar_3600_8000_rules_q3_s6_nam_nosub.txt_rules_q3_s3_nam_nosub_symb.txt_nam_-1_0_7_10,SymbolicOptimizer-Base-PQ-3.jar_3600_8000_rules_q3_s5_rigetti2.txt_rules_q3_s3_rigetti2_symb.txt_rigetti_-1_0_7_10,SymbolicOptimizer-Base-PQ-3.jar_3600_8000_rules_q3_s4_ibm.txt_rules_q3_s3_ibm_symb.txt_ibm_-1_0_7_10,SymbolicOptimizer-Base-PQ-3.jar_3600_8000_rules_q3_s3_ion1.txt_rules_q3_s3_ion1_symb.txt_ion_-1_0_7_10,SymbolicOptimizer-Base-PQ-3.jar_3600_8000_empty.txt_empty.txt_ibm_-1_0_7_10,SymbolicOptimizer-Base-PQ-3.jar_3600_8000_best_rules_ibm_nov3_nonsymb.txt_best_rules_ibm_nov3_symb.txt_ibm_-1_0_7_10,SymbolicOptimizer-Base-IBM-New.jar_3600_8000_rules_q3_s6_ibmnew.txt_rules_q3_s3_ibmnew_symb.txt_ibmnew_-1_0_7_10,SymbolicOptimizer-Base-Fidelity.jar_3600_8000_rules_q3_s4_ibm.txt_rules_q3_s3_ibm_symb.txt_ibm_-1_0_7_10
ibm_afterQuartzPP_qaoa_n8_p4,,,,,,,212,,,,,
rigetti_afterQuartzPP_adder_8,,,,,,1460,,,,,,
rigetti_afterQuartzPP_barenco_tof_10,,,,,,569,,,,,,
rigetti_afterQuartzPP_barenco_tof_3,,,,,,86,,,,,,
rigetti_afterQuartzPP_barenco_tof_4,,,,,,160,,,,,,
rigetti_afterQuartzPP_barenco_tof_5,,,,,,228,,,,,,
rigetti_afterQuartzPP_csla_mux_3,,,,,,370,,,,,,
rigetti_afterQuartzPP_csum_mux_9,,,,,,670,,,,,,
rigetti_afterQuartzPP_gf2^10_mult,,,,,,2685,,,,,,
rigetti_afterQuartzPP_gf2^4_mult,,,,,,454,,,,,,
rigetti_afterQuartzPP_gf2^5_mult,,,,,,696,,,,,,
rigetti_afterQuartzPP_gf2^6_mult,,,,,,992,,,,,,
rigetti_afterQuartzPP_gf2^7_mult,,,,,,1347,,,,,,
rigetti_afterQuartzPP_gf2^8_mult,,,,,,1741,,,,,,
rigetti_afterQuartzPP_gf2^9_mult,,,,,,2197,,,,,,
rigetti_afterQuartzPP_mod5_4,,,,,,116,,,,,,
rigetti_afterQuartzPP_mod_mult_55,,,,,,212,,,,,,
rigetti_afterQuartzPP_mod_red_21,,,,,,430,,,,,,
rigetti_afterQuartzPP_qaoa_n10_p4,,,,,,655,,,,,,
rigetti_afterQuartzPP_qaoa_n14_p4,,,,,,914,,,,,,
rigetti_afterQuartzPP_qaoa_n20_p4,,,,,,1297,,,,,,
rigetti_afterQuartzPP_qaoa_n30_p4,,,,,,1966,,,,,,
rigetti_afterQuartzPP_qaoa_n4_p4,,,,,,259,,,,,,
rigetti_afterQuartzPP_qaoa_n6_p4,,,,,,390,,,,,,
rigetti_afterQuartzPP_qaoa_n8_p4,,,,,,527,,,,,,
rigetti_afterQuartzPP_qcla_adder_10,,,,,,932,,,,,,
rigetti_afterQuartzPP_qcla_com_7,,,,,,638,,,,,,
rigetti_afterQuartzPP_qcla_mod_7,,,,,,1409,,,,,,
rigetti_afterQuartzPP_rc_adder_6,,,,,,353,,,,,,
rigetti_afterQuartzPP_tof_10,,,,,,360,,,,,,
rigetti_afterQuartzPP_tof_3,,,,,,76,,,,,,
rigetti_afterQuartzPP_tof_4,,,,,,114,,,,,,
rigetti_afterQuartzPP_tof_5,,,,,,155,,,,,,
rigetti_afterQuartzPP_vbe_adder_3,,,,,,216,,,,,,
nam_afterQuartzPP_adder_8,,,,,605,,,,,,,
nam_afterQuartzPP_barenco_tof_10,,,,,262,,,,,,,
nam_afterQuartzPP_barenco_tof_3,,,,,38,,,,,,,
nam_afterQuartzPP_barenco_tof_4,,,,,68,,,,,,,
nam_afterQuartzPP_barenco_tof_5,,,,,98,,,,,,,
nam_afterQuartzPP_csla_mux_3,,,,,148,,,,,,,
nam_afterQuartzPP_csum_mux_9,,,,,252,,,,,,,
nam_afterQuartzPP_gf2^10_mult,,,,,1009,,,,,,,
nam_afterQuartzPP_gf2^4_mult,,,,,177,,,,,,,
nam_afterQuartzPP_gf2^5_mult,,,,,273,,,,,,,
nam_afterQuartzPP_gf2^6_mult,,,,,381,,,,,,,
nam_afterQuartzPP_gf2^7_mult,,,,,516,,,,,,,
nam_afterQuartzPP_gf2^8_mult,,,,,682,,,,,,,
nam_afterQuartzPP_gf2^9_mult,,,,,835,,,,,,,
nam_afterQuartzPP_mod5_4,,,,,33,,,,,,,
nam_afterQuartzPP_mod_mult_55,,,,,94,,,,,,,
nam_afterQuartzPP_mod_red_21,,,,,196,,,,,,,
