benchmark,original_size,original_2q,optimized_size,optimized_2q
TFIM_step_70_4,312,12,100,12
TFIM_step_80_4,312,12,100,12
TFIM_step_90_4,312,12,100,12
XY_step_100_8,1344,56,392,56
adder_9,226,98,49,19
ae_nativegates_ibm_tket_8,2310,56,487,56
alu-bdd_288,132,38,57,26
alu-v0_26,132,38,64,28
alu-v2_30,768,223,362,158
alu-v2_33,69,17,35,15
alu-v3_34,84,24,45,19
alu-v3_35,61,18,34,15
alu-v4_36,179,51,80,32
alu-v4_37,61,18,34,15
clip_206,51227,14772,35506,14772
co14_215,27024,7840,17446,7464
decod24-bdd_294,145,32,47,22
decod24-v3_45,262,64,115,45
dist_223,57486,16624,57480,16624
ex-1_166,35,9,18,8
ex1_226,23,5,7,5
gf2^6_mult,495,221,390,202
graycode6_47,5,5,5,5
grover_pigeon3,25714,92,8393,92
heisenberg_step_5_4,737,90,168,42
hlf_10,161,56,59,32
inc_237,16115,4636,7734,3400
ising_model_10,920,90,288,72
life_238,34005,9800,33947,9793
majority_239,940,267,403,178
max46_240,41094,11844,26731,11844
misex1_241,7317,2100,3075,1364
mlp4_245,28548,8232,17169,7436
multiply_10,350,163,95,45
one-two-three-v3_101,118,32,61,24
plus63mod4096_163,193120,56329,193120,56329
plus63mod8192_164,280672,81865,280653,81865
pm1_249,2776,771,1153,496
portfolioqaoa_nativegates_ibm_tket_8,6400,168,1358,168
portfoliovqe_nativegates_ibm_tket_8,2532,84,634,84
qaoa_10,285,85,111,43
qft_10_quest,401,216,151,81
qpeexact_nativegates_ibm_tket_8,2471,64,519,64
qpeinexact_nativegates_ibm_tket_8,2531,65,538,65
root_255,26007,7493,17448,7310
sao2_257,58105,16864,58103,16864
sf_274,1269,336,526,228
sf_276,1242,336,512,220
shor_15_7,36598,14858,34959,13308
squar5_261,3049,869,1278,564
sym6_316,422,123,209,90
sym9_146,488,148,254,113
urf1_149,277296,80878,277296,80878
urf1_278,82494,26692,59907,26692
urf2_152,120720,35210,120720,35210
urf2_277,30016,10066,19778,9708
urf3_155,635232,185276,635232,185276
urf3_279,189986,60380,189950,60380
urf4_187,768096,224028,768096,224028
urf5_158,246624,71932,246624,71932
urf5_280,75309,23764,75274,23752
urf6_160,257760,75180,257760,75180
vqe_uccsd_n4,892,88,147,51
xor5_254,23,5,7,5
qf21_n15,178,115,178,115
