benchmark,total_size,total_2q,original_size,original_2q,fidelity
rd53_251.qasm,1048,399,1639,564,0.009583902893150571
rd73_140.qasm,186,71,286,104,0.4377111066540504
rd73_252.qasm,4554,1799,6737,2319,8.101758927022774e-10
z4_268.qasm,3424,1275,3881,1343,3.703423264325273e-07
sf_274.qasm,678,247,1025,336,0.05607047961517283
pm1_249.qasm,1528,583,2276,771,0.0011252335344286183
sqrt8_260.qasm,2507,995,3805,1314,9.351639582072143e-06
sym6_145.qasm,3172,1266,4860,1701,4.0145844661855346e-07
sym6_316.qasm,248,95,346,123,0.3310042002632354
tof_5.qasm,98,36,133,42,0.6577956729531197
wim_266.qasm,851,323,1270,427,0.023220468037005833
heisenberg_step_40_4.qasm,3526,480,4802,720,0.002637934821052105
cm152a_212.qasm,1033,413,1545,532,0.008183330258277912
rd53_130.qasm,915,338,1375,448,0.01940248304573503
sf_276.qasm,671,251,1010,336,0.05363456147567689
ex2_227.qasm,535,204,807,275,0.0929232001281909
ham15-low.qasm,362,196,637,236,0.10334126085779362
heisenberg_step_5_4.qasm,446,60,602,90,0.47582178669807107
alu-v2_31.qasm,373,144,567,198,0.18711984059144504
gf2^6_mult.qasm,423,206,539,221,0.09250645089178731
barenco_tof_10.qasm,341,149,518,192,0.1778372172849082
mod8-10_178.qasm,286,111,430,152,0.2747971348659249
decod24-enable_126.qasm,281,111,422,149,0.27495170097538885
gf2^5_mult.qasm,306,144,383,154,0.18923612577895585
rd53_311.qasm,267,95,367,124,0.3302605219259805
mini-alu_167.qasm,238,95,360,126,0.3311903813581579
4gt12-v0_86.qasm,208,87,311,116,0.36379328894234014
4gt4-v0_78.qasm,194,79,291,109,0.39915652234758203
4_49_16.qasm,193,79,273,99,0.39915652234758203
rc_adder_6.qasm,198,86,244,93,0.36801051287342673
4gt12-v0_88.qasm,162,63,242,86,0.4805297984730127
4gt4-v0_80.qasm,153,58,227,79,0.5090354572666612
one-two-three-v0_98.qasm,122,47,182,65,0.5788174673794114
