benchmark,total_size,total_2q,original_size,original_2q
mod5mils_65.qasm,29,12,59,16
mod8-10_177.qasm,309,134,664,196
mod8-10_178.qasm,256,110,518,152
mod_mult_55.qasm,107,45,119,48
mod_red_21.qasm,227,92,278,105
muliply_5.qasm,104,17,281,20
multiply_10.qasm,175,87,350,163
one-two-three-v0_97.qasm,201,83,434,128
one-two-three-v0_98.qasm,103,41,218,65
one-two-three-v1_99.qasm,99,42,204,59
one-two-three-v2_100.qasm,64,25,109,32
one-two-three-v3_101.qasm,69,24,118,32
plus63mod4096_163.qasm,193120,56329,193120,56329
plus63mod8192_164.qasm,280672,81865,280672,81865
pm1_249.qasm,1181,498,2776,771
portfolioqaoa_nativegates_ibm_tket_8.qasm,2171,168,6400,168
portfoliovqe_nativegates_ibm_tket_8.qasm,760,84,2532,84
qaoa_10.qasm,150,52,285,85
qaoa_5.qasm,108,29,282,42
qaoa_n10_p4.qasm,345,115,910,120
qaoa_n14_p4.qasm,479,157,1274,168
qaoa_n20_p4.qasm,691,231,1820,240
qaoa_n30_p4.qasm,1035,345,2730,360
qaoa_n4_p4.qasm,124,34,364,48
qaoa_n6_p4.qasm,201,63,546,72
qaoa_n8_p4.qasm,271,87,728,96
qaoa_nativegates_ibm_tket_8.qasm,436,32,1364,32
qcla_adder_10.qasm,418,185,521,233
qcla_com_7.qasm,318,131,443,186
qcla_mod_7.qasm,684,301,884,382
qe_qft_4.qasm,165,27,423,27
qe_qft_5.qasm,257,34,659,38
qft_10_quest.qasm,181,107,401,216
qft_20.qasm,628,380,5610,380
qft_5.qasm,61,25,348,33
qft_nativegates_ibm_tket_8.qasm,879,68,2574,68
qftentangled_nativegates_ibm_tket_8.qasm,951,75,2853,75
qgan_nativegates_ibm_tket_8.qasm,280,28,928,28
qiskit-3_17_13.qasm,33,11,60,17
qiskit-alu-v0_26.qasm,70,29,132,38
qpeexact_nativegates_ibm_tket_8.qasm,833,64,2471,64
qpeinexact_nativegates_ibm_tket_8.qasm,851,65,2531,65
radd_250.qasm,2102,954,4877,1405
rc_adder_6.qasm,180,80,200,93
rd32-v0_66.qasm,18,7,50,16
rd32-v1_68.qasm,30,9,68,16
rd32_270.qasm,66,25,148,36
rd53_130.qasm,772,311,1707,448
rd53_131.qasm,364,138,829,200
rd53_133.qasm,561,241,868,256
rd53_135.qasm,194,90,440,134
rd53_138.qasm,97,43,196,60
rd53_251.qasm,952,425,1987,564
rd53_311.qasm,232,90,459,124
rd73_140.qasm,170,76,342,104
rd73_252.qasm,3661,1623,8153,2319
rd84_142.qasm,265,116,511,154
rd84_253.qasm,13359,5960,20778,5960
root_255.qasm,17452,7319,26007,7493
sao2_257.qasm,58105,16864,58105,16864
sf_274.qasm,566,232,1269,336
sf_276.qasm,574,241,1242,336
shor_15_7.qasm,35698,14060,36598,14858
sqn_258.qasm,9606,4421,15567,4459
sqrt8_260.qasm,1943,854,4601,1314
squar5_261.qasm,1274,561,3049,869
square_root_7.qasm,4865,1941,13330,3089
sym10_262.qasm,97107,28084,97107,28084
sym6_145.qasm,3432,1575,5832,1701
sym6_316.qasm,215,91,422,123
sym9_146.qasm,254,113,488,148
sym9_148.qasm,32256,9408,32256,9408
sym9_193.qasm,52809,15232,52809,15232
sys6-v0_111.qasm,164,71,319,98
tof_10.qasm,215,86,255,102
tof_3.qasm,40,16,45,18
tof_4.qasm,65,26,75,30
tof_5.qasm,90,36,105,42
urf1_149.qasm,277296,80878,277296,80878
urf1_278.qasm,82493,26691,82494,26692
urf2_152.qasm,120720,35210,120720,35210
urf2_277.qasm,21112,10042,30016,10066
urf3_155.qasm,635232,185276,635232,185276
urf3_279.qasm,189986,60380,189986,60380
urf4_187.qasm,768096,224028,768096,224028
urf5_158.qasm,246624,71932,246624,71932
urf5_280.qasm,54285,23764,75309,23764
urf6_160.qasm,257760,75180,257760,75180
vbe_adder_3.qasm,89,40,150,70
vqe_4.qasm,389,66,850,74
vqe_nativegates_ibm_tket_8.qasm,204,14,703,14
vqe_uccsd_n4.qasm,298,70,892,88
vqe_uccsd_n6.qasm,3041,923,8762,1052
vqe_uccsd_n8.qasm,14556,5394,39032,5488
wim_266.qasm,699,296,1554,427
xor5_254.qasm,15,5,23,5
z4_268.qasm,2033,911,4689,1343
