benchmark,total_size,total_2q,original_size,original_2q,fidelity
rd53_138.qasm,120,47,164,60,0.5797947253356618
rd53_251.qasm,1598,564,1639,564,0.0014341837767694466
rd73_140.qasm,220,91,286,104,0.34838028270712956
rd73_252.qasm,6713,2319,6737,2319,2.021610300026014e-12
z4_268.qasm,3855,1342,3881,1343,1.7128544206788474e-07
sf_274.qasm,915,336,1025,336,0.02022680754261406
pm1_249.qasm,2249,771,2276,771,0.00012888451988609772
sqrt8_260.qasm,3785,1314,3805,1314,2.3665726503121992e-07
sym6_145.qasm,4854,1701,4860,1701,2.6697709998831445e-09
sym6_316.qasm,276,112,346,123,0.27302634324753466
tof_5.qasm,110,38,133,42,0.6428060093859738
wim_266.qasm,1139,427,1270,427,0.0070585182322284385
heisenberg_step_40_4.qasm,4791,712,4922,720,0.00018206334248385372
cm152a_212.qasm,1504,532,1545,532,0.002082052253947885
rd53_130.qasm,1318,448,1375,448,0.0054729883935482
sf_276.qasm,811,336,1010,336,0.020375209282882986
ex2_227.qasm,677,275,807,275,0.041342223270972665
ham15-low.qasm,483,235,637,236,0.06592613499727457
heisenberg_step_5_4.qasm,209,60,617,90,0.49381265368249494
alu-v2_31.qasm,463,191,567,198,0.1094716001846754
gf2^6_mult.qasm,528,221,539,221,0.07781958099667421
barenco_tof_10.qasm,483,192,518,192,0.10833888091465846
mod8-10_178.qasm,363,151,430,152,0.17388246188166712
decod24-enable_126.qasm,349,145,422,149,0.1865423543862345
gf2^5_mult.qasm,373,154,383,154,0.16863535356337278
rd53_311.qasm,298,121,367,124,0.24557142591339115
mini-alu_167.qasm,305,122,360,126,0.24316715927714713
4gt12-v0_86.qasm,249,108,311,116,0.2865520782561484
4gt4-v0_78.qasm,233,98,291,109,0.32155775154658583
4_49_16.qasm,226,92,273,99,0.34419441155710834
rc_adder_6.qasm,220,87,244,93,0.36379328894234014
4gt12-v0_88.qasm,202,80,242,86,0.39569333984276045
4gt4-v0_80.qasm,184,73,227,79,0.4289409752946452
one-two-three-v0_98.qasm,142,54,182,65,0.5345535956100032
